Country,Other names,ISO 3166-1 alpha-3 CODE,Population,Continent,Total Cases,Total Deaths,Tot Cases//1M pop,Tot Deaths/1M pop,Death percentage,Latitude,Longitude
Honduras,Honduras,HND,10180299,Latin America and the Caribbean,421062,10880,41360,1069,2.583942507,14.1,-87.216667
Hong Kong,"China, Hong Kong Special Administrative Region",HKG,7603455,Asia,1171422,8172,154064,1075,0.69761367,0,0
Hungary,Hungary,HUN,9617409,Europe,1854198,45510,192796,4732,2.454430433,47.5,19.083333
Iceland,Iceland,ISL,345120,Europe,181830,101,526860,293,0.055546389,64.15,-21.95
India,India,IND,1403754381,Asia,43029044,521388,30653,371,1.211711792,28.6,77.2
Indonesia,Indonesia,IDN,278586508,Asia,6019981,155288,21609,557,2.579543025,-6.166666667,106.816667
Iran,United Kingdom,IRN,85874667,Asia,7167646,140315,83466,1634,1.95761621,35.7,51.416667
Iraq,Iraq,IRQ,41801625,Asia,2320260,25173,55506,602,1.084921517,33.33333333,44.4
Ireland,Ireland,IRL,5034333,Europe,1471210,6786,292235,1348,0.461252982,53.31666667,-6.233333
Isle of Man,Isle of Man,IMN,85821,Europe,28416,84,331108,979,0.295608108,54.15,-4.483333
Israel,Israel,ISR,9326000,Asia,3943153,10530,422813,1129,0.267045179,31.76666667,35.233333
Italy,Italy,ITA,60306185,Europe,14846514,159784,246186,2650,1.076239176,41.9,12.483333
Jamaica,Jamaica,JAM,2983794,Latin America and the Caribbean,128811,2893,43170,970,2.245926202,35.68333333,139.75
Japan,Japan,JPN,125798669,Asia,6653841,28248,52893,225,0.424536745,49.18333333,-2.1
Jordan,Jordan,JOR,10380442,Asia,1689314,14003,162740,1349,0.828916353,31.95,35.933333
Kazakhstan,Kazakhstan,KAZ,19169833,Asia,1305188,13660,68086,713,1.046592522,51.16666667,71.416667
Kenya,Kenya,KEN,55843563,Africa,323454,5648,5792,101,1.746152467,-1.283333333,36.816667
Kiribati,Kiribati,KIR,122656,Oceania,3067,13,25005,106,0.423866971,-0.8833333333,169.533333
Kuwait,Kuwait,KWT,4381108,Asia,629525,2554,143691,583,0.405702712,29.36666667,47.966667
Kyrgyzstan,Kyrgyzstan,KGZ,6712569,Asia,200968,2991,29939,446,1.488296644,42.86666667,74.6
